Korean,Correct,Wrong,WrongKorean
사과,apple,banana,바나나
바나나,banana,grape,포도
포도,grape,orange,오렌지
오렌지,orange,lemon,레몬
레몬,lemon,lime,라임
라임,lime,kiwi,키위
키위,kiwi,mango,망고
망고,mango,melon,멜론
멜론,melon,peach,복숭아
복숭아,peach,plum,자두
자두,plum,cherry,체리
체리,cherry,pear,배
배,pear,pineapple,파인애플
파인애플,pineapple,watermelon,수박
수박,watermelon,blueberry,블루베리
블루베리,blueberry,strawberry,딸기
딸기,strawberry,raspberry,라즈베리
라즈베리,raspberry,blackberry,블랙베리
블랙베리,blackberry,cranberry,크랜베리
크랜베리,cranberry,avocado,아보카도
아보카도,avocado,tomato,토마토
토마토,tomato,cucumber,오이
오이,cucumber,carrot,당근
당근,carrot,potato,감자
감자,potato,onion,양파
양파,onion,garlic,마늘
마늘,garlic,pepper,고추
고추,pepper,broccoli,브로콜리
브로콜리,broccoli,spinach,시금치
시금치,spinach,lettuce,상추
상추,lettuce,cabbage,양배추
양배추,cabbage,cauliflower,콜리플라워
콜리플라워,cauliflower,pea,완두콩
완두콩,pea,bean,콩
콩,bean,radish,무
무,radish,beet,비트
비트,beet,zucchini,호박
호박,zucchini,eggplant,가지
가지,eggplant,pumpkin,호박
호박,pumpkin,squash,스쿼시
스쿼시,squash,sweet potato,고구마
고구마,sweet potato,leek,부추
부추,leek,ginger,생강
생강,ginger,mushroom,버섯
버섯,mushroom,corn,옥수수
옥수수,corn,celery,셀러리
셀러리,celery,artichoke,아티초크
