Korean,Correct,Wrong,WrongKorean
학교,school,university,대학교
도서관,library,museum,박물관
박물관,museum,zoo,동물원
동물원,zoo,aquarium,수족관
공원,park,playground,놀이터
놀이터,playground,beach,해변
해변,beach,mountain,산
산,mountain,lake,호수
호수,lake,river,강
강,river,ocean,대양
대양,ocean,forest,숲
숲,forest,jungle,정글
정글,jungle,desert,사막
사막,desert,valley,계곡
계곡,valley,island,섬
섬,island,cave,동굴
동굴,cave,volcano,화산
폭포,waterfall,cliff,절벽
다리,bridge,tunnel,터널
터널,tunnel,building,건물
건물,building,skyscraper,고층건물
극장,theater,cinema,영화관
식당,restaurant,cafe,카페
가게,shop,market,시장
시장,market,mall,쇼핑몰
쇼핑몰,mall,pharmacy,약국
병원,hospital,clinic,진료소
소방서,fire station,police station,경찰서
경찰서,police station,post office,우체국
은행,bank,court,법원
교회,church,temple,사원
사원,temple,mosque,모스크
모스크,mosque,synagogue,회당
대사관,embassy,office,사무실
공장,factory,warehouse,창고
기차역,train station,bus station,버스터미널
공항,airport,harbor,항구
주차장,parking lot,garage,차고
도로,road,highway,고속도로
거리,street,avenue,대로
가로수길,boulevard,path,오솔길
정원,garden,courtyard,마당
광장,plaza,shopping center,쇼핑센터
슈퍼마켓,supermarket,bakery,빵집
헬스클럽,health club,fitness center,피트니스센터
미술관,art gallery,music hall,음악당
강당,auditorium,studio,스튜디오
