Korean,Correct,Wrong,WrongKorean
일,one,two,이
이,two,three,삼
삼,three,four,사
사,four,five,오
오,five,six,육
육,six,seven,칠
칠,seven,eight,팔
팔,eight,nine,구
구,nine,ten,십
십,ten,eleven,십일
십일,eleven,twelve,십이
십이,twelve,thirteen,십삼
십삼,thirteen,fourteen,십사
십사,fourteen,fifteen,십오
십오,fifteen,sixteen,십육
십육,sixteen,seventeen,십칠
십칠,seventeen,eighteen,십팔
십팔,eighteen,nineteen,십구
십구,nineteen,twenty,이십
이십,twenty,thirty,삼십
삼십,thirty,forty,사십
사십,forty,fifty,오십
오십,fifty,sixty,육십
육십,sixty,seventy,칠십
칠십,seventy,eighty,팔십
팔십,eighty,ninety,구십
구십,ninety,one hundred,백
백,one hundred,thousand,천
천,thousand,million,백만
백만,million,billion,십억
십억,billion,trillion,조
조,trillion,dozen,다스
다스,dozen,pair,쌍
쌍,pair,trio,삼중주
삼중주,trio,quadruple,네배
네배,quadruple,half,절반
절반,half,quarter,사분의일
사분의일,quarter,whole,전체
전체,whole,fraction,분수
분수,fraction,decimal,소수
소수,decimal,percentage,백분율
백분율,percentage,ration,비율
비율,ration,average,평균
평균,average,total,총계
총계,total,difference,차이
차이,difference,sum,합계
합계,sum,product,곱
