Korean,Correct,Wrong,WrongKorean
사과,apple,banana,바나나
바나나,banana,grape,포도
포도,grape,peach,복숭아
복숭아,peach,plum,자두
자두,plum,cherry,체리
체리,cherry,pear,배
배,pear,pineapple,파인애플
파인애플,pineapple,mango,망고
망고,mango,melon,멜론
멜론,melon,orange,오렌지
오렌지,orange,lemon,레몬
레몬,lemon,lime,라임
라임,lime,kiwi,키위
키위,kiwi,avocado,아보카도
아보카도,avocado,strawberry,딸기
딸기,strawberry,blueberry,블루베리
블루베리,blueberry,blackberry,블랙베리
블랙베리,blackberry,raspberry,라즈베리
라즈베리,raspberry,watermelon,수박
수박,watermelon,cantaloupe,칸탈루프
칸탈루프,cantaloupe,honeydew,허니듀
허니듀,honeydew,apple,사과
양배추,cabbage,lettuce,상추
상추,lettuce,spinach,시금치
시금치,spinach,broccoli,브로콜리
브로콜리,broccoli,carrot,당근
당근,carrot,potato,감자
감자,potato,tomato,토마토
토마토,tomato,cucumber,오이
오이,cucumber,onion,양파
양파,onion,garlic,마늘
마늘,garlic,pepper,고추
고추,pepper,sweet potato,고구마
고구마,sweet potato,radish,무
무,radish,beet,비트
비트,beet,corn,옥수수
옥수수,corn,peas,완두콩
완두콩,peas,bean,콩
콩,bean,pea,완두콩
버섯,mushroom,pepper,고추
고추,pepper,mushroom,버섯
빵,bread,rice,쌀
쌀,rice,noodles,국수
국수,noodles,soup,수프
수프,soup,salad,샐러드
샐러드,salad,sandwich,샌드위치
샌드위치,sandwich,burger,버거
버거,burger,pizza,피자
피자,pizza,cake,케이크
