Korean,Correct,Wrong,WrongKorean
고양이,cat,dog,개
개,dog,cat,고양이
새,bird,frog,개구리
물고기,fish,whale,고래
고래,whale,fish,물고기
코끼리,elephant,monkey,원숭이
원숭이,monkey,elephant,코끼리
호랑이,tiger,lion,사자
사자,lion,tiger,호랑이
여우,fox,wolf,늑대
늑대,wolf,fox,여우
토끼,rabbit,turtle,거북이
거북이,turtle,rabbit,토끼
소,cow,sheep,양
양,sheep,cow,소
돼지,pig,goat,염소
염소,goat,pig,돼지
말,horse,donkey,당나귀
당나귀,donkey,horse,말
곰,bear,deer,사슴
사슴,deer,bear,곰
캥거루,kangaroo,koala,코알라
코알라,koala,kangaroo,캥거루
오리,duck,goose,거위
거위,goose,duck,오리
닭,chicken,rooster,수탉
수탉,rooster,chicken,닭
병아리,chick,hatching,부화
부화,hatching,chick,병아리
참새,sparrow,pigeon,비둘기
비둘기,pigeon,sparrow,참새
벌,bee,butterfly,나비
나비,butterfly,bee,벌
개미,ant,spider,거미
거미,spider,ant,개미
개구리,frog,toad,두꺼비
두꺼비,toad,frog,개구리
뱀,snake,lizard,도마뱀
도마뱀,lizard,snake,뱀
물개,sealion,dolphin,돌고래
돌고래,dolphin,sealion,물개
오징어,squid,octopus,문어
문어,octopus,squid,오징어
개미핥기,anteater,pangolin,천산갑
천산갑,pangolin,anteater,개미핥기
기린,giraffe,zebra,얼룩말
얼룩말,zebra,giraffe,기린
쥐,rat,mouse,쥐
햄스터,hamster,gerbil,저빌
표범,leopard,puma,퓨마
퓨마,puma,leopard,표범
치타,cheetah,panda,팬더
팬더,panda,cheetah,치타
늑대,wolf,fox,여우
여우,fox,wolf,늑대
고슴도치,hedgehog,porcupine,호저
호저,porcupine,hedgehog,고슴도치
하마,hippopotamus,rhinoceros,코뿔소
코뿔소,rhinoceros,hippopotamus,하마
수달,otter,beaver,비버
비버,beaver,otter,수달
원앙,mandarin duck,peacock,공작새
공작새,peacock,mandarin duck,원앙
알파카,alpaca,llama,라마
라마,llama,alpaca,알파카
바다표범,seal,walrus,바다코끼리
바다코끼리,walrus,seal,바다표범
두루미,crane,stork,황새
황새,stork,crane,두루미
부엉이,owl,eagle,독수리
독수리,eagle,owl,부엉이
까치,magpie,rook,떼까마귀
너구리,raccoon,skunk,스컹크
스컹크,skunk,raccoon,너구리
침팬지,chimpanzee,orangutan,오랑우탄
오랑우탄,orangutan,chimpanzee,침팬지
족제비,weasel,mongoose,몽구스
몽구스,mongoose,weasel,족제비
바다사자,sea lion,seal,바다표범
산양,ibex,goat,염소
들소,bison,buffalo,버팔로
버팔로,buffalo,bison,들소
미어캣,meerkat,prairie dog,프레리도그
프레리도그,prairie dog,meerkat,미어캣
두더지,mole,vole,밭쥐
밭쥐,vole,mole,두더지
벌새,hummingbird,sparrow,참새
아나콘다,anaconda,python,비단뱀
비단뱀,python,anaconda,아나콘다
긴팔원숭이,gibbon,lemur,여우원숭이
여우원숭이,lemur,gibbon,긴팔원숭이
