Korean,Correct,Wrong,WrongKorean
빨간색,red,blue,파란색
파란색,blue,green,초록색
초록색,green,yellow,노란색
노란색,yellow,orange,주황색
주황색,orange,purple,보라색
보라색,purple,pink,분홍색
분홍색,pink,brown,갈색
갈색,brown,black,검정색
검정색,black,white,하얀색
하얀색,white,gray,회색
회색,gray,cyan,청록색
청록색,cyan,magenta,자홍색
자홍색,magenta,beige,베이지색
베이지색,beige,ivory,아이보리
아이보리,ivory,olive,올리브색
올리브색,olive,maroon,적갈색
적갈색,maroon,navy,남색
남색,navy,gold,금색
금색,gold,silver,은색
은색,silver,bronze,동색
동색,bronze,copper,구리색
구리색,copper,peach,피치색
피치색,peach,cream,크림색
크림색,cream,teal,청록색
청록색,teal,lilac,라일락색
라일락색,lilac,lime,라임색
라임색,lime,indigo,인디고색
인디고색,indigo,turquoise,터쿼이즈색
터쿼이즈색,turquoise,azure,하늘색
하늘색,azure,vermillion,주홍색
주홍색,vermillion,scarlet,주홍색
주홍색,scarlet,crimson,진홍색
진홍색,crimson,emerald,에메랄드색
에메랄드색,emerald,sapphire,사파이어색
사파이어색,sapphire,amber,호박색
호박색,amber,chartreuse,연두색
연두색,chartreuse,rose,장미색
장미색,rose,violet,보라색
보라색,violet,lavender,연보라색
연보라색,lavender,plum,자두색
자두색,plum,mauve,회자색
회자색,mauve,apricot,살구색
살구색,apricot,cobalt,코발트색
코발트색,cobalt,jade,비취색
비취색,jade,salmon,연어색
연어색,salmon,amber,호박색
호박색,amber,ebony,흑단색
흑단색,ebony,ivory,아이보리
