Korean,Correct,Wrong,WrongKorean
머리,head,hair,머리카락
머리카락,hair,face,얼굴
얼굴,face,eye,눈
눈,eye,ear,귀
귀,ear,nose,코
코,nose,mouth,입
입,mouth,lip,입술
입술,lip,teeth,이
이,teeth,tongue,혀
혀,tongue,cheek,볼
볼,cheek,chin,턱
턱,chin,neck,목
목,neck,shoulder,어깨
어깨,shoulder,arm,팔
팔,arm,elbow,팔꿈치
팔꿈치,elbow,wrist,손목
손목,wrist,hand,손
손,hand,finger,손가락
손가락,finger,thumb,엄지손가락
엄지손가락,thumb,nail,손톱
손톱,nail,knee,무릎
무릎,knee,leg,다리
다리,leg,foot,발
발,foot,toe,발가락
발가락,toe,ankle,발목
발목,ankle,calf,종아리
종아리,calf,thigh,허벅지
허벅지,thigh,hip,엉덩이
엉덩이,hip,stomach,배
배,stomach,chest,가슴
가슴,chest,back,등
등,back,waist,허리
허리,waist,body,몸
몸,body,skin,피부
피부,skin,muscle,근육
근육,muscle,bone,뼈
뼈,bone,vein,정맥
정맥,vein,artery,동맥
동맥,artery,heart,심장
심장,heart,lung,폐
폐,lung,liver,간
간,liver,kidney,신장
신장,kidney,brain,뇌
뇌,brain,nerve,신경
신경,nerve,cell,세포
세포,cell,organ,기관
기관,organ,system,시스템
