Korean,Correct,Wrong,WrongKorean
비,rain,snow,눈
눈,snow,wind,바람
바람,wind,storm,폭풍
폭풍,storm,cloud,구름
구름,cloud,sun,태양
태양,sun,moon,달
달,moon,star,별
별,star,sky,하늘
하늘,sky,earth,지구
지구,earth,universe,우주
우주,universe,planet,행성
행성,planet,galaxy,은하
은하,galaxy,comet,혜성
혜성,comet,asteroid,소행성
소행성,asteroid,meteor,운석
운석,meteor,nebula,성운
성운,nebula,gravity,중력
중력,gravity,magnetism,자기
자기,magnetism,weather,날씨
날씨,weather,climate,기후
기후,climate,temperature,온도
온도,temperature,heat,열
열,heat,cold,추위
추위,cold,humid,습기
습기,humid,dry,건조
건조,dry,season,계절
계절,season,month,월
월,month,year,연도
연도,year,day,일
일,day,night,밤
밤,night,morning,아침
아침,morning,afternoon,오후
오후,afternoon,evening,저녁
저녁,evening,dawn,새벽
새벽,dawn,dusk,황혼
황혼,dusk,sunrise,일출
일출,sunrise,sunset,일몰
일몰,sunset,moonlight,달빛
달빛,moonlight,starlight,별빛
별빛,starlight,rainbow,무지개
무지개,rainbow,lightning,번개
번개,lightning,thunder,천둥
천둥,thunder,fog,안개
안개,fog,mist,연무
연무,mist,haze,안개
