Korean,Correct,Wrong,WrongKorean
걷다,walk,run,달리다
달리다,run,jump,뛰다
뛰다,jump,skip,건너뛰다
건너뛰다,skip,hop,깡충뛰다
깡충뛰다,hop,climb,오르다
오르다,climb,crawl,기다
기다,crawl,slide,미끄러지다
미끄러지다,slide,swim,수영하다
수영하다,swim,dive,다이빙하다
다이빙하다,dive,float,떠다니다
떠다니다,float,fly,날다
날다,fly,fall,떨어지다
떨어지다,fall,catch,잡다
잡다,catch,throw,던지다
던지다,throw,hit,치다
치다,hit,kick,차다
차다,kick,push,밀다
밀다,push,pull,당기다
당기다,pull,lift,들다
들다,lift,carry,운반하다
운반하다,carry,drop,떨어뜨리다
떨어뜨리다,drop,hold,잡다
잡다,hold,shake,흔들다
흔들다,shake,move,움직이다
움직이다,move,stop,멈추다
멈추다,stop,sit,앉다
앉다,sit,stand,서다
서다,stand,lie,눕다
눕다,lie,sleep,잠자다
잠자다,sleep,wake,깨다
깨다,wake,drink,마시다
마시다,drink,eat,먹다
먹다,eat,cook,요리하다
요리하다,cook,bake,굽다
굽다,bake,cut,자르다
자르다,cut,write,쓰다
쓰다,write,draw,그리다
그리다,draw,paint,칠하다
칠하다,paint,read,읽다
읽다,read,listen,듣다
듣다,listen,speak,말하다
말하다,speak,shout,외치다
외치다,shout,whisper,속삭이다
속삭이다,whisper,laugh,웃다
웃다,laugh,cry,울다
울다,cry,smile,미소짓다
미소짓다,smile,frown,찌푸리다
