Korean,Correct,Wrong,WrongKorean
슬픈,sad,happy,행복한
행복한,happy,angry,화난
화난,angry,calm,차분한
차분한,calm,nervous,긴장한
긴장한,nervous,excited,흥분한
흥분한,excited,bored,지루한
지루한,bored,surprised,놀란
놀란,surprised,shocked,충격받은
충격받은,shocked,disappointed,실망한
실망한,disappointed,scared,겁먹은
겁먹은,scared,afraid,두려운
두려운,afraid,confident,자신있는
자신있는,confident,proud,자랑스러운
자랑스러운,proud,ashamed,부끄러운
부끄러운,ashamed,embarrassed,당황한
당황한,embarrassed,guilty,죄책감있는
죄책감있는,guilty,anxious,불안한
불안한,anxious,relaxed,편안한
편안한,relaxed,lonely,외로운
외로운,lonely,hurt,다친
다친,hurt,tired,피곤한
피곤한,tired,restless,안절부절못하는
안절부절못하는,restless,curious,호기심있는
호기심있는,curious,jealous,질투하는
질투하는,jealous,grateful,감사한
감사한,grateful,satisfied,만족한
만족한,satisfied,disgusted,혐오스러운
혐오스러운,disgusted,annoyed,짜증난
짜증난,annoyed,frustrated,좌절한
좌절한,frustrated,confused,혼란스러운
혼란스러운,confused,sick,아픈
아픈,sick,healthy,건강한
건강한,healthy,sorry,미안한
미안한,sorry,understanding,이해하는
이해하는,understanding,thoughtful,사려깊은
사려깊은,thoughtful,careless,부주의한
부주의한,careless,angry,화난
화난,angry,content,만족한
만족한,content,inspired,영감을받은
영감을받은,inspired,joyful,기쁜
기쁜,joyful,hopeful,희망에찬
희망에찬,hopeful,optimistic,낙관적인
낙관적인,optimistic,pessimistic,비관적인
비관적인,pessimistic,motivated,동기부여된
동기부여된,motivated,distracted,집중못하는
집중못하는,distracted,focused,집중하는
집중하는,focused,relieved,안도한
안도한,relieved,worried,걱정하는
걱정하는,worried,sleepy,졸린
졸린,sleepy,energetic,활기찬
