Korean,Correct,Wrong,WrongKorean
월요일,Monday,Tuesday,화요일
화요일,Tuesday,Wednesday,수요일
수요일,Wednesday,Thursday,목요일
목요일,Thursday,Friday,금요일
금요일,Friday,Saturday,토요일
토요일,Saturday,Sunday,일요일
일요일,Sunday,Monday,월요일
일주일,week,month,달
달,month,year,년
년,year,decade,십년
십년,decade,century,세기
세기,century,millennium,천년
천년,millennium,January,1월
1월,January,February,2월
2월,February,March,3월
3월,March,April,4월
4월,April,May,5월
5월,May,June,6월
6월,June,July,7월
7월,July,August,8월
8월,August,September,9월
9월,September,October,10월
10월,October,November,11월
11월,November,December,12월
12월,December,January,1월
새해,New Year,Christmas,크리스마스
크리스마스,Christmas,holiday,휴일
휴일,holiday,birthday,생일
생일,birthday,anniversary,기념일
기념일,anniversary,festival,축제
축제,festival,weekend,주말
주말,weekend,weekday,평일
평일,weekday,week,일주일
일주일,week,month,달
달,month,year,년
년,year,season,계절
계절,season,autumn,가을
가을,autumn,spring,봄
봄,spring,summer,여름
여름,summer,winter,겨울
겨울,winter,fall,가을
가을,fall,winter,겨울
겨울,winter,day,낮
낮,day,night,밤
밤,night,morning,아침
아침,morning,afternoon,오후
오후,afternoon,evening,저녁
저녁,evening,dawn,새벽
새벽,dawn,dusk,황혼
황혼,dusk,midnight,자정
자정,midnight,noon,정오
정오,noon,daylight,일광
일광,daylight,twilight,황혼
황혼,twilight,weekend,주말
주말,weekend,holiday,휴일
휴일,holiday,celebration,축하
축하,celebration,workday,근무일
근무일,workday,day off,휴가
휴가,day off,nighttime,야간
야간,nighttime,daytime,주간
주간,daytime,moment,순간
순간,moment,minute,분
분,minute,second,초
초,second,hour,시간
시간,hour,timetable,시간표
시간표,timetable,schedule,일정
일정,schedule,calendar,달력
달력,calendar,event,행사
행사,event,appointment,약속
약속,appointment,meeting,회의
회의,meeting,session,세션
세션,session,deadline,마감일
마감일,deadline,era,시대
시대,era,period,기간
기간,period,duration,기간
